2020-02-11/21:44:00		Error while creating table: no such column: F 
2020-02-12/18:21:14		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:14		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:14		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:14		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:14		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:14		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:14		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:14		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:15		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:16		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:17		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112013.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:18		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:19		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:20		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:21		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:22		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:23		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:24		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112014.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:25		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
2020-02-12/18:21:26		 hypothyroid_0211198_0102062112015.csv: File loaded successfully!!
